colony,street,street_number,postal_code,zone,directions,lat,lon
SAN RAFAEL,CARLOS GONZALEZ,280,44810,Guadalajara,"CARLOS GONZALEZ 280, SAN RAFAEL, Guadalajara",20.6571099,-103.2966291
JARDINES DE LA CRUZ,REYES CATOLICOS,2151,44950,Guadalajara,"REYES CATOLICOS 2151, JARDINES DE LA CRUZ, Guadalajara",20.64629179,-103.37634047
OBLATOS PONIENTE,HACIENDA LA GAV,3208,44700,Guadalajara,"HACIENDA LA GAV 3208, OBLATOS PONIENTE, Guadalajara",20.70194403,-103.28288184
SAN JUAN BOSCO,FELIX BERNARDEL,428,44730,Guadalajara,"FELIX BERNARDEL 428, SAN JUAN BOSCO, Guadalajara",20.6690339,-103.3025698
18 DE MARZO,NATIVIDAD MACIA,1326,44960,Guadalajara,"NATIVIDAD MACIA 1326, 18 DE MARZO, Guadalajara",20.6332169,-103.3695316
VALENTIN GOMEZ FARIA,JUAN DE DIOS CO,12,44977,Guadalajara,"JUAN DE DIOS CO 12, VALENTIN GOMEZ FARIA, Guadalajara",20.6166636,-103.36543282
U H EL ZALATE,JOSE FERNANDEZ,1123,44760,Guadalajara,"JOSE FERNANDEZ 1123, U H EL ZALATE, Guadalajara",20.6790637,-103.2732273
SAN ANDRES,AVELINO M PRESA,3335,44810,Guadalajara,"AVELINO M PRESA 3335, SAN ANDRES, Guadalajara",20.661081,-103.2907359
LA ESPERANZA,IGUALDAD,186,44300,Guadalajara,"IGUALDAD 186, LA ESPERANZA, Guadalajara",20.7098839,-103.319677
LOMAS DE MIRAMAR,URANIO,31,45060,Zapopan,"URANIO 31, LOMAS DE MIRAMAR, Zapopan",20.64202975,-103.46426675
LA FLORESTA DEL COLLI,BOULEVARD PUERT,26,45116,Zapopan,"BOULEVARD PUERT 26, LA FLORESTA DEL COLLI, Zapopan",20.70902792,-103.41388692
EL FORTIN,ALAMO,1359,45066,Zapopan,"ALAMO 1359, EL FORTIN, Zapopan",20.6469306,-103.4548918
FRACC CUSPIDE,VALLE DE TESIST,198,45200,Zapopan,"VALLE DE TESIST 198, FRACC CUSPIDE, Zapopan",20.795812,-103.4822218
VIGIA I,HERRADURA,242,45140,Zapopan,"HERRADURA 242, VIGIA I, Zapopan",20.7327233,-103.3938158
LOMAS DE MIRAMAR,PUERTO CHAMELA,314,45060,Zapopan,"PUERTO CHAMELA 314, LOMAS DE MIRAMAR, Zapopan",20.63579117,-103.44676658
MIRAMAR,BAHIA MAGDALENA,5,45060,Zapopan,"BAHIA MAGDALENA 5, MIRAMAR, Zapopan",20.6407449,-103.4490608
LA MOJONERA,DE BARAJAS,425,45134,Zapopan,"DE BARAJAS 425, LA MOJONERA, Zapopan",20.78831785,-103.45075595
VILLA FONTANA DIAMANTE,FUENTE BRILLANT,1730,45200,Zapopan,"FUENTE BRILLANT 1730, VILLA FONTANA DIAMANTE, Zapopan",20.7737514,-103.4720222
RESIDENCIAL TESISTAN,PARQUE MEXICANO,150,45200,Zapopan,"PARQUE MEXICANO 150, RESIDENCIAL TESISTAN, Zapopan",20.665307,-103.40409989
RESIDENCIAL GUADALUP,MISION SAN PATR,350,45030,Zapopan,"MISION SAN PATR 350, RESIDENCIAL GUADALUP, Zapopan",20.6538728,-103.4331985
LA FLORIDA,FLORAL,15,45234,Zapopan,"FLORAL 15, LA FLORIDA, Zapopan",20.5997014,-103.4273219
BENITO JUAREZ,ADOLFO LOPEZ MA,4754,45199,Zapopan,"ADOLFO LOPEZ MA 4754, BENITO JUAREZ, Zapopan",20.79533048,-103.5005241
ALTAMIRA,AV AMERICA,580,45160,Zapopan,"AV AMERICA 580, ALTAMIRA, Zapopan",20.7170404,-103.3886043
PRADOS  GUADALUPE,G ROSSINI,428,45030,Zapopan,"G ROSSINI 428, PRADOS  GUADALUPE, Zapopan",20.6686337,-103.4349976
FRACC PALERMO,MARINA,204,45200,Zapopan,"MARINA 204, FRACC PALERMO, Zapopan",20.81616775,-103.460718
VALLE REAL,AV RAMON CORONA,2748,45019,Zapopan,"AV RAMON CORONA 2748, VALLE REAL, Zapopan",20.735422,-103.459965
VISTA HERMOSA,VISTA BONITA,739,45189,Zapopan,"VISTA BONITA 739, VISTA HERMOSA, Zapopan",20.762084,-103.334313
CANTEROS,PRIVADA CANTERO,1564,45190,Zapopan,"PRIVADA CANTERO 1564, CANTEROS, Zapopan",20.727049,-103.338664
COLINAS D LA PRIMAVE,CASCADA,147,45066,Zapopan,"CASCADA 147, COLINAS D LA PRIMAVE, Zapopan",20.637151,-103.4700562
CAMPO REAL,AV CAMPO REAL P,353,45134,Zapopan,"AV CAMPO REAL P 353, CAMPO REAL, Zapopan",20.78893521,-103.44364777
PARAISOS DEL COLLY,GALEANA,1068,45069,Zapopan,"GALEANA 1068, PARAISOS DEL COLLY, Zapopan",20.6508438,-103.4542078
VILLAS SAN IGNACIO,PRIV LUIS G MON,337,45180,Zapopan,"PRIV LUIS G MON 337, VILLAS SAN IGNACIO, Zapopan",20.73366544,-103.35291841
PASEOS DEL BRISE#O,PASEOS DE LOS I,1,45236,Zapopan,"PASEOS DE LOS I 1, PASEOS DEL BRISE#O, Zapopan",20.618144,-103.434739
VILLA UNIVESITARIA,AV PATRIA,1446,45110,Zapopan,"AV PATRIA 1446, VILLA UNIVESITARIA, Zapopan",20.6974505,-103.4156311
JARDINES DEL VERGEL,JARDIN DE NARDO,1527,45180,Zapopan,"JARDIN DE NARDO 1527, JARDINES DEL VERGEL, Zapopan",20.7437494,-103.3705966
BUGAMBILIAS,PASEO DE LA VIC,4952,45238,Zapopan,"PASEO DE LA VIC 4952, BUGAMBILIAS, Zapopan",20.60869227,-103.47949598
UNIDAD JARDINES SEAT,JARDINES DE LOS,1233,45180,Zapopan,"JARDINES DE LOS 1233, UNIDAD JARDINES SEAT, Zapopan",20.7511529,-103.36893085
RINCONADA DL AUDITOR,ALBERTO CINTA,39,45180,Zapopan,"ALBERTO CINTA 39, RINCONADA DL AUDITOR, Zapopan",20.7367901,-103.3424097
VIRREYES RESIDENCIAL,AV NACIONES UNI,6904,45110,Zapopan,"AV NACIONES UNI 6904, VIRREYES RESIDENCIAL, Zapopan",20.695938,-103.442158
VILLA DE GUADALUPE II,PABLO HIPOLITO,45,45189,Zapopan,"PABLO HIPOLITO 45, VILLA DE GUADALUPE II, Zapopan",20.754981,-103.33859306
CONJ LOMAS ALTAS,PASEO DEL ARCO,4098,45128,Zapopan,"PASEO DEL ARCO 4098, CONJ LOMAS ALTAS, Zapopan",20.6859952,-103.4110242
INDIGENA D MEZQUITAN,18 DE MARZO,409,45190,Zapopan,"18 DE MARZO 409, INDIGENA D MEZQUITAN, Zapopan",20.738673,-103.331924
VALLE REAL,PASEO SAN ARTUR,685,45019,Zapopan,"PASEO SAN ARTUR 685, VALLE REAL, Zapopan",20.722536,-103.44067
CONDOMINIO MALAGA,AV CENTRAL,1351,45117,Zapopan,"AV CENTRAL 1351, CONDOMINIO MALAGA, Zapopan",20.6937778,-103.4324128
SAN JUAN DE OCOTAN,MIGUEL MIRAMON,13,45019,Zapopan,"MIGUEL MIRAMON 13, SAN JUAN DE OCOTAN, Zapopan",20.764462,-103.452206
MESA DE LOS OCOTES,PASEO DE LOS PI,3153,45189,Zapopan,"PASEO DE LOS PI 3153, MESA DE LOS OCOTES, Zapopan",20.761889,-103.347178
LA HACIENDITA,SAN MARTIN,2341,45230,Zapopan,"SAN MARTIN 2341, LA HACIENDITA, Zapopan",20.6139723,-103.4511535
LA FLORESTA DEL COLLI,BOULEVARD PUERT,5430,45116,Zapopan,"BOULEVARD PUERT 5430, LA FLORESTA DEL COLLI, Zapopan",20.7111733,-103.4155545
VILLAS SAN IGNACIO,PABLO QUIROGA,215,45180,Zapopan,"PABLO QUIROGA 215, VILLAS SAN IGNACIO, Zapopan",20.72433,-103.3668977
UNIDAD MEXICO,CDA QUERETARO,278,45120,Zapopan,"CDA QUERETARO 278, UNIDAD MEXICO, Zapopan",20.6804779,-103.4039896
FRACC CUSPIDE,SAN MATEO 1155,27,45200,Zapopan,"SAN MATEO 1155 27, FRACC CUSPIDE, Zapopan",20.7963827,-103.4688727
EJIDAL LOMA BONITA,PEDRO MORENO,3308,45085,Zapopan,"PEDRO MORENO 3308, EJIDAL LOMA BONITA, Zapopan",20.6317603,-103.4051996
IXTLAHUACAN DEL RIO,HDA SAN MIGUEL,10,45260,Zapopan,"HDA SAN MIGUEL 10, IXTLAHUACAN DEL RIO, Zapopan",20.769279,-103.445288
LA MARTINICA,PASEO DE LOS AL,79,45185,Zapopan,"PASEO DE LOS AL 79, LA MARTINICA, Zapopan",20.749005,-103.3596259
REAL DE VALDEPE?S,CALLE G 1470 TO,1470,45130,Zapopan,"CALLE G 1470 TO 1470, REAL DE VALDEPE?S, Zapopan",20.75259018,-103.4048233
CIUDAD GRANJA,CALZ DE LOS LA,164,45010,Zapopan,"CALZ DE LOS LA 164, CIUDAD GRANJA, Zapopan",20.6849754,-103.4518055
COLINAS DE ATEMAJAC,AV AURELIO ORTE,1176,45170,Zapopan,"AV AURELIO ORTE 1176, COLINAS DE ATEMAJAC, Zapopan",20.7213469,-103.3671295
ARENALES TAPATIOS,AV GUADALUPE,132,45066,Zapopan,"AV GUADALUPE 132, ARENALES TAPATIOS, Zapopan",20.6367828,-103.4602462
AGRICOLA,OBELISCO,138,45236,Zapopan,"OBELISCO 138, AGRICOLA, Zapopan",20.616065,-103.432436
SAN ISIDRO EJIDAL,NUEVO MEXICO,250,45147,Zapopan,"NUEVO MEXICO 250, SAN ISIDRO EJIDAL, Zapopan",20.726598,-103.398205
RANCHO NUEVO,CELERINO NAVARR,4135,44240,Zapopan,"CELERINO NAVARR 4135, RANCHO NUEVO, Zapopan",20.717712,-103.32276
JARDINES D NVO MEXIC,SEXTA PTE,535,45138,Zapopan,"SEXTA PTE 535, JARDINES D NVO MEXIC, Zapopan",20.76243185,-103.43949475
EL HUMEDO,RIO ACAPONETA,2,45200,Zapopan,"RIO ACAPONETA 2, EL HUMEDO, Zapopan",20.795757,-103.493083
HOGARES D NVO MEXICO,AV AVIACION,36,45138,Zapopan,"AV AVIACION 36, HOGARES D NVO MEXICO, Zapopan",20.73702555,-103.44966935
"FRACC, LOS MOLINOS",PLATA,70,45200,Zapopan,"PLATA 70, FRACC, LOS MOLINOS, Zapopan",20.84836438,-103.42263338
RESID LAS ARBOLEDAS,AURORA BOREAL N,4170,45070,Zapopan,"AURORA BOREAL N 4170, RESID LAS ARBOLEDAS, Zapopan",20.6282461,-103.4284541
REAL DE VALDEPE?S,ALAMBIQUE,51,45130,Zapopan,"ALAMBIQUE 51, REAL DE VALDEPE?S, Zapopan",20.7560515,-103.4015362
"FRACC, LOS MOLINOS",CTO OBSIDIANA,39,45200,Zapopan,"CTO OBSIDIANA 39, FRACC, LOS MOLINOS, Zapopan",20.798731,-103.4770319
FRACC CUSPIDE,SENDA DEL OCOTE,22,45200,Zapopan,"SENDA DEL OCOTE 22, FRACC CUSPIDE, Zapopan",20.85434258,-103.44456721
VICTOR HUGO,PRIVADA COLON,150,45190,Zapopan,"PRIVADA COLON 150, VICTOR HUGO, Zapopan",20.7211,-103.3541
RESIDENCIAL AZALEAS,SERVIDOR PUBLIC,1425,45230,Zapopan,"SERVIDOR PUBLIC 1425, RESIDENCIAL AZALEAS, Zapopan",20.61696815,-103.44837189
FRACC JARDINES DE BELEN,TORONJA,41,45200,Zapopan,"TORONJA 41, FRACC JARDINES DE BELEN, Zapopan",20.8124,-103.4826
FRACC MIRADOR D SN I,AV INDUSTRIA TE,2030,45133,Zapopan,"AV INDUSTRIA TE 2030, FRACC MIRADOR D SN I, Zapopan",20.7582237,-103.3867842
EL COLLY URBANO I,MELCHOR OCAMPO,1233,45070,Zapopan,"MELCHOR OCAMPO 1233, EL COLLY URBANO I, Zapopan",20.6449026,-103.4405377
PRADOS TEPEYAC,PRADO DE LAS GA,4468,45050,Zapopan,"PRADO DE LAS GA 4468, PRADOS TEPEYAC, Zapopan",20.654827,-103.413214
AGRICOLA,DALIA,138,45236,Zapopan,"DALIA 138, AGRICOLA, Zapopan",20.6165614,-103.4310802
EL COLLY URBANO I,VOLCAN VESUBIO,2321,45070,Zapopan,"VOLCAN VESUBIO 2321, EL COLLY URBANO I, Zapopan",20.6413426,-103.4276583
VALLE DE LOS MOLINOS,BERNA,75,45200,Zapopan,"BERNA 75, VALLE DE LOS MOLINOS, Zapopan",20.8547918,-103.42304733
FRACC HACIENDA LAS PALOMAS,CALLE DEL AGUA,365,45200,Zapopan,"CALLE DEL AGUA 365, FRACC HACIENDA LAS PALOMAS, Zapopan",20.7285236,-103.3937157
VILLA FONTANA DIAMANTE,ARENISCA,1896,45200,Zapopan,"ARENISCA 1896, VILLA FONTANA DIAMANTE, Zapopan",20.77322945,-103.4750089
EJIDAL LOMA BONITA,PEDRO MORENO,3205,45085,Zapopan,"PEDRO MORENO 3205, EJIDAL LOMA BONITA, Zapopan",20.6313377,-103.4015789
LOS ROBLES,CALLE LOS ROBLE,395,45134,Zapopan,"CALLE LOS ROBLE 395, LOS ROBLES, Zapopan",20.76709012,-103.43385955
INF LA TUZANIA,AND OYAMELES,1124,45138,Zapopan,"AND OYAMELES 1124, INF LA TUZANIA, Zapopan",20.7370922,-103.4154143
HDA SAN ISIDRO,LA VILLA,455,45147,Zapopan,"LA VILLA 455, HDA SAN ISIDRO, Zapopan",20.7289036,-103.3982935
LA ESTRADA,HIDALAGO,6,45200,Zapopan,"HIDALAGO 6, LA ESTRADA, Zapopan",20.79264101,-103.47565388
MESA DE LOS OCOTES,BETABEL,23,45189,Zapopan,"BETABEL 23, MESA DE LOS OCOTES, Zapopan",20.7672275,-103.3435708
COPALITA,AV AMARANTO,175,45200,Zapopan,"AV AMARANTO 175, COPALITA, Zapopan",20.80905867,-103.45311198
MESA COLORADA PTE,NABO,543,45189,Zapopan,"NABO 543, MESA COLORADA PTE, Zapopan",20.763,-103.34626
ARENALES TAPATIOS,CROMITA,69,45066,Zapopan,"CROMITA 69, ARENALES TAPATIOS, Zapopan",20.633538,-103.4592391
MESA COLORADA PTE,ANAHUAC,52,45189,Zapopan,"ANAHUAC 52, MESA COLORADA PTE, Zapopan",20.7593548,-103.3370537
VILLA FONTANA DIAMANTE,AV JADE,86,45200,Zapopan,"AV JADE 86, VILLA FONTANA DIAMANTE, Zapopan",20.80761483,-103.48160873
VILLA FONTANA DIAMANTE,FUENTE GRAFITO,8884,45200,Zapopan,"FUENTE GRAFITO 8884, VILLA FONTANA DIAMANTE, Zapopan",20.7795959,-103.4746901
COLINAS DEL REY,AV TORREMOLINOS,3500,45130,Zapopan,"AV TORREMOLINOS 3500, COLINAS DEL REY, Zapopan",20.752913,-103.40735
RESIDENCIAL TESISTAN,AV SAN MATEO,1115,45200,Zapopan,"AV SAN MATEO 1115, RESIDENCIAL TESISTAN, Zapopan",20.7943479,-103.4683674
LAS AGUILAS,RIO TOMATLAN,800,45080,Zapopan,"RIO TOMATLAN 800, LAS AGUILAS, Zapopan",20.625904,-103.407993
TABACHINES,PASEO DE LOS CH,3040,45188,Zapopan,"PASEO DE LOS CH 3040, TABACHINES, Zapopan",20.7373844,-103.3639798
PASEOS DEL SOL,TOMAS BALCAZAR,5404,45079,Zapopan,"TOMAS BALCAZAR 5404, PASEOS DEL SOL, Zapopan",20.637128,-103.427021
FRACC LOS PINOS,AV  COMPOSITORE,3850,45120,Zapopan,"AV  COMPOSITORE 3850, FRACC LOS PINOS, Zapopan",20.6046765,-103.4348944
FRACC REAL DEL BOSQUE,CALLE CAMPO REA,371,45130,Zapopan,"CALLE CAMPO REA 371, FRACC REAL DEL BOSQUE, Zapopan",20.746274,-103.395428
VICENTE GUERRERO,C CEDROS,15,45134,Zapopan,"C CEDROS 15, VICENTE GUERRERO, Zapopan",20.741835,-103.3386413
LOMAS DEL CENTINELA,PASEO DEL OLMO,328,45187,Zapopan,"PASEO DEL OLMO 328, LOMAS DEL CENTINELA, Zapopan",20.75542914,-103.37931546
LA PALMITA,MANUEL GONZALEZ,518,45180,Zapopan,"MANUEL GONZALEZ 518, LA PALMITA, Zapopan",20.7300639,-103.358865
FRACC CUSPIDE,CAMINO AL POTRE,1200,45200,Zapopan,"CAMINO AL POTRE 1200, FRACC CUSPIDE, Zapopan",20.802884,-103.4970855
PRADOS TEPEYAC,PRADO DE LAS RO,308,45050,Zapopan,"PRADO DE LAS RO 308, PRADOS TEPEYAC, Zapopan",20.65714869,-103.41220962
BOSQUE ESCONDIDO,PASEO DE LOS AL,10,45180,Zapopan,"PASEO DE LOS AL 10, BOSQUE ESCONDIDO, Zapopan",20.7469871,-103.3822178
REAL DE VALDEPE?S,RINCONADA DEL C,1327,45130,Zapopan,"RINCONADA DEL C 1327, REAL DE VALDEPE?S, Zapopan",20.75622519,-103.40385961
SANTA ANA TEPETITLAN,HIDALGO,35,45230,Zapopan,"HIDALGO 35, SANTA ANA TEPETITLAN, Zapopan",20.6208991,-103.456008
EL BRISE#O,CONSTELACION,7,45236,Zapopan,"CONSTELACION 7, EL BRISE#O, Zapopan",20.6229076,-103.4384665
HDA SAN ISIDRO,EJIDO,570,45147,Zapopan,"EJIDO 570, HDA SAN ISIDRO, Zapopan",20.7334016,-103.3978425
INF LA TUZANIA,AV DE LAS PALME,1246,45138,Zapopan,"AV DE LAS PALME 1246, INF LA TUZANIA, Zapopan",20.7416922,-103.4190553
LOMAS DE MIRAMAR,PUERTO TAMPICO,80,45060,Zapopan,"PUERTO TAMPICO 80, LOMAS DE MIRAMAR, Zapopan",20.640018,-103.448292
FRACC REAL DEL BOSQUE,BERROCAL,449,45130,Zapopan,"BERROCAL 449, FRACC REAL DEL BOSQUE, Zapopan",20.7461139,-103.3969141
TIERRA RESIDENCIAL,SAN MATEO,2010,45200,Zapopan,"SAN MATEO 2010, TIERRA RESIDENCIAL, Zapopan",20.8026474,-103.4705006
REAL DE TESISTAN,PRIVADA EMILIAN,28,45200,Zapopan,"PRIVADA EMILIAN 28, REAL DE TESISTAN, Zapopan",20.79364007,-103.4744717
CIUDAD DEL SOL,QUETZALCOATL,232,45050,Zapopan,"QUETZALCOATL 232, CIUDAD DEL SOL, Zapopan",20.6492751,-103.4071483
NUEVO MEXICO,6 DE ENERO,3239,45138,Zapopan,"6 DE ENERO 3239, NUEVO MEXICO, Zapopan",20.75714709,-103.43247582
EL BATAN,ALCALDE,288,45190,Zapopan,"ALCALDE 288, EL BATAN, Zapopan",20.721075,-103.345678
VIGIA I,DEL CORRAL,604,45140,Zapopan,"DEL CORRAL 604, VIGIA I, Zapopan",20.7317015,-103.395332
EL BRISE?,PASEO DE LA MAT,200,45236,Zapopan,"PASEO DE LA MAT 200, EL BRISE?, Zapopan",20.61881066,-103.43599554
PARQUES DE ZAPOPAN,OPALO,14,45138,Zapopan,"OPALO 14, PARQUES DE ZAPOPAN, Zapopan",20.7473862,-103.4188519
ARENALES TAPATIOS,DIAMANTE,114,45066,Zapopan,"DIAMANTE 114, ARENALES TAPATIOS, Zapopan",20.6339582,-103.4563939
JARDINES  DEL BOSQUE,PLACERES,806,44520,Zapopan,"PLACERES 806, JARDINES  DEL BOSQUE, Zapopan",20.6650289,-103.3922401
EL ARENAL,CUAUHTEMOC,132,45350,Zapopan,"CUAUHTEMOC 132, EL ARENAL, Zapopan",20.7250865,-103.3945404
COLLY SITIO,ROMANA,6570,45036,Zapopan,"ROMANA 6570, COLLY SITIO, Zapopan",20.65393358,-103.4396834
LINDAVISTA,ALLENDE,216,45169,Zapopan,"ALLENDE 216, LINDAVISTA, Zapopan",20.721194,-103.3988204
INF LA TUZANIA,CAPULINES,40,45138,Zapopan,"CAPULINES 40, INF LA TUZANIA, Zapopan",20.731825,-103.418699
EL ARENAL,PROLONGACION SA,43,45350,Zapopan,"PROLONGACION SA 43, EL ARENAL, Zapopan",20.74234227,-103.33373909
SANTA FE,EMILIANO ZAPATA,574,45168,Zapopan,"EMILIANO ZAPATA 574, SANTA FE, Zapopan",20.7145673,-103.3915946
EL ZAPOTE,TEZOZOMOC,4357,45050,Zapopan,"TEZOZOMOC 4357, EL ZAPOTE, Zapopan",20.6546574,-103.4153864
MIGUEL HIDALGO,15 DE SEPTIEMBR,3017,45186,Zapopan,"15 DE SEPTIEMBR 3017, MIGUEL HIDALGO, Zapopan",20.748896,-103.340873
TABACHINES,PASEO DE LOS AV,3101,45188,Zapopan,"PASEO DE LOS AV 3101, TABACHINES, Zapopan",20.74189052,-103.36275942
REVOLUCION SEGUNDA SECCION,REVOLUCION,51,45200,Zapopan,"REVOLUCION 51, REVOLUCION SEGUNDA SECCION, Zapopan",20.85476958,-103.42562918
RESIDENC LA ESTANCIA,WOLFANG AMADEUS,5552,45030,Zapopan,"WOLFANG AMADEUS 5552, RESIDENC LA ESTANCIA, Zapopan",20.6731122,-103.431709
NUEVO MEXICO,COPALITA,2711,45138,Zapopan,"COPALITA 2711, NUEVO MEXICO, Zapopan",20.7647307,-103.43970355
12 DE DICIEMBRE,TRUENO,260,45068,Zapopan,"TRUENO 260, 12 DE DICIEMBRE, Zapopan",20.6491888,-103.457067
REAL QUINTAS DEL VALLE,CIRCUITO REAL S,0,45138,Zapopan,"CIRCUITO REAL S 0, REAL QUINTAS DEL VALLE, Zapopan",20.73714441,-103.44750205
VISTA HERMOSA,AV VISTA HERMO,3763,45189,Zapopan,"AV VISTA HERMO 3763, VISTA HERMOSA, Zapopan",20.7616693,-103.3347796
JARDINES D NVO MEXIC,SEGUNDA NORTE,5699,45138,Zapopan,"SEGUNDA NORTE 5699, JARDINES D NVO MEXIC, Zapopan",20.7695635,-103.4477057
EL BATAN,ANDADOR AGUA AZ,44,45190,Zapopan,"ANDADOR AGUA AZ 44, EL BATAN, Zapopan",20.72135701,-103.3443436
DIVISION DL NTE ZAP,FRANCISCO VILLA,27,45180,Zapopan,"FRANCISCO VILLA 27, DIVISION DL NTE ZAP, Zapopan",20.73240707,-103.35364459
LOMAS DEL REFUGIO,AGUA PRIETA,111,45186,Zapopan,"AGUA PRIETA 111, LOMAS DEL REFUGIO, Zapopan",20.74929471,-103.34874768
LOMAS DL VALLE VI UN,CANCER,3992,45129,Zapopan,"CANCER 3992, LOMAS DL VALLE VI UN, Zapopan",20.6850586,-103.4084621
MESA COLORADA PTE,DELLI,1825,45189,Zapopan,"DELLI 1825, MESA COLORADA PTE, Zapopan",20.7704348,-103.3478953
VILLA FONTANA DIAMANTE,AV LAS TORRES,1896,45200,Zapopan,"AV LAS TORRES 1896, VILLA FONTANA DIAMANTE, Zapopan",20.78039085,-103.4803915
REAL DE TESISTAN,PASEO DE LA ARB,176,45200,Zapopan,"PASEO DE LA ARB 176, REAL DE TESISTAN, Zapopan",20.6140105,-103.4564312
EL CENTINELA 2,HIDALGO,310,45187,Zapopan,"HIDALGO 310, EL CENTINELA 2, Zapopan",20.758003,-103.380373
LA VENTA DEL ASTILLE,JILGEROS,33,45221,Zapopan,"JILGEROS 33, LA VENTA DEL ASTILLE, Zapopan",20.7322419,-103.53937
